,name,address
0,Ansan Jarak-gil,"75-66, Bongwonsa-gil, Seodaemun-gu, Seoul 03721 South Korea"
1,Seoul City Wall Museum,"283, Yulgok-ro, Jongno-gu, Seoul 03098 South Korea"
2,Myeongdong Underground Shopping Center,"B 72, Namdaemun-ro, Jung-gu, Seoul 04535 South Korea"
3,Ice Gallery,"138-7, Hwa-dong, Jongno-gu, Seoul South Korea"
4,Kukkiwon World Taekwondo Headquarters,"32, Teheran-ro 7-gil, Gangnam-gu, Seoul 06130 South Korea"
5,Culture Station Seoul 284,"1, Tongil-ro, Jung-gu, Seoul 04509 South Korea"
6,KBS On,"13, Yeouigongwon-ro, Yeongdeungpo-gu, Seoul 07235 South Korea"
7,An Jung-geun Memorial Hall,"91, Sowol-ro, Jung-gu, Seoul 04636 South Korea"
8,Sebitseom,"683, Olympic-daero, Seocho-gu, Seoul 06500 South Korea"
9,Gyeongui line forest,"50-4, Wausan-ro 35-gil, Mapo-gu, Seoul 04052 South Korea"
10,Amore Pacific Museum of Art,"100, Hangang-daero, Yongsan-gu, Seoul 04386 South Korea"
11,Baek In-je's House,"16, Bukchon-ro 7-gil, Jongno-gu, Seoul 03055 South Korea"
12,Jeoldusan Martyrs' Shrine,"96-1 Hapjeong-dong, Mapo-gu, Seoul 121-883 South Korea"
13,Yangjae Citizens' Park,"99, Maeheon-ro, Seocho-gu, Seoul 06773 South Korea"
14,L?™atelier,"20, Jangchungdan-ro 13-gil, Jung-gu 11F, Hyundai City Tower, Seoul 04563 South Korea"
15,Dongdaemun Seonggwak Park,"70, Jongno 6-ga, Jongno-gu, Seoul South Korea"
16,Seocho Tourist Information Center,"1318-7, Seocho-dong, Seocho-gu, Seoul South Korea"
17,Paradise Casino Walkerhill,"San 21 Gwangjang-dong, Gwangjin-gu, Seoul South Korea"
18,Mario outlet,"23, Digital-ro 9-gil, Geumcheon-gu, Seoul South Korea"
19,Daelim Museum,"35-1 Tongui-dong, Jongno-gu, Seoul South Korea"
20,Naksan Public Art,"7-9, Naksan 3-gil, Jongno-gu Between Hyehwa Station and Naksan Park, Seoul South Korea"
21,Seoul Folk Flea Market,"21, Cheonho-daero 4-gil, Dongdaemun-gu, Seoul 02586 South Korea"
22,Seodaemun Museum of Natural History,"San 5-58, Yeonhui 3-dong, Seodaemun-gu, Seoul 120-113 South Korea"
23,Dosan Neighborhood Park,"649-9 Sinsa-dong, Gangnam-gu, Seoul South Korea"
24,Tapgol Park,"Jongno 2-ga, Jongno-gu, Seoul South Korea"
25,Lotte FitIn,"264, Eulji-ro, Jung-gu, Seoul 04561 South Korea"
26,Seven Luck Casino Gangnam Coex,"58, Teheran-ro 87-gil, Gangnam-gu, Seoul 06164 South Korea"
27,Gyeonghuigung Palace,"1-126 Sinmunno 2-ga, Jongno-gu, Seoul 110-062 South Korea"
28,Figure Museum,"3 Seolleung-ro 158-gil, Cheongdam-dong, Gangnam-gu, Seoul"
29,Children's Museum of National Museum of Korea,"137 Seobinggo-ro, Seobinggo-dong, Yongsan-gu, Seoul"
