,name,big sortig,small sorting,address
0,Deoksugung,Sights & Landmarks,Historic Sites,"99 Sejong-daero, Jung-gu, Seoul 04519 South Korea"
1,Yeouido Park,Nature & Parks,,
2,Olympic Park,Nature & Parks,Fun & Games,
3,Myeong-dong Cathedral,Sights & Landmarks,Sacred & Religious Sites,
4,Seoul Children's Grand Park,Water & Amusement Parks,Nature & Parks,"216 Neungdong-ro, Gwangjin-gu, Seoul 04991 South Korea"
5,Lotte World Aquarium,Nature & Parks,Zoos & Aquariums,
6,Gwanghwamun Gate,Sights & Landmarks,Points of Interest & Landmarks,"161 Sajik-ro, Jongno-gu, Seoul 03045 South Korea"
7,National Folk Museum of Korea,Museums,Specialty Museums,"37 Samcheong-ro, Jongno-gu, Seoul 03045 South Korea"
8,Changgyeonggung Palace,Sights & Landmarks,Points of Interest & Landmarks,
9,Starfield COEX Mall,Shopping,Shopping Malls,"513, Yeongdong-daero, Gangnam-gu, Seoul 06164 South Korea"
10,Jamsil Baseball Stadium,Fun & Games,Sports Complexes,
11,Coex Aquarium,Zoos & Aquariums,Nature & Parks,"524, Bongeunsa-ro, Gangnam-gu B1 Coex Mall, Seoul 06164 South Korea"
12,Grevin Museum,Museums,Specialty Museums,"23, Eulji-ro, Jung-gu station la plus proche : Euljiro 1-ga, Seoul 04523 South Korea"
13,Seodaemun Prison History Hall,Museums,Sights & Landmarks,
14,Seoul Lantern Festival,Events,Cultural Events,"Cheonggyecheon Stream, Seoul South Korea"
15,Namsangol Hanok Village,Sights & Landmarks,Historic Sites,
16,Namdaemun Market,Shopping,Flea & Street Markets,"21, Namdaemunsijang 4-gil, Jung-gu, Seoul 04529 South Korea"
17,Korea House,,,
18,Itaewon,Sights & Landmarks,Points of Interest & Landmarks,
19,Samcheongdong-gil Road,Sights & Landmarks,Points of Interest & Landmarks,
20,Garosu-gil,Sights & Landmarks,Shopping,"Shinsa-dong, Gangnam-gu, Seoul South Korea"
21,Naksan Park,Nature & Parks,,
22,Shinsegae Dept. Store Main,Shopping,Department Stores,"77, Toegye-ro, Jung-gu, Seoul 04530 South Korea"
23,Lotte World,Water & Amusement Parks,Theme Parks,"240, Olympic-ro, Songpa-gu, Seoul 138-721 South Korea"
24,Inwangsan Mountain,Nature & Parks,Mountains,
25,Majang Meat Market,Shopping,Flea & Street Markets,
26,Seoul Museum of History,Museums,History Museums,
27,Seoul City Wall,Sights & Landmarks,Observation Decks & Towers,
28,Ikseon-dong Hanok Street,Sights & Landmarks,Points of Interest & Landmarks,
29,Jongmyo Shrine,Sights & Landmarks,Sacred & Religious Sites,"157, Jong-ro, Jongno-gu, Seoul 03135 South Korea"
